,TIC,ec_long,ec_lat,num_s,sec
1187,92362554,44.16742753422474,-37.124461088704464,5,"[4, 31, 107, 108, 109]"
1188,92442460,306.9845605547353,-16.061991909684092,5,"[1, 27, 68, 95, 105]"
1189,13739860,139.94930431609825,-27.533553141833995,6,"[8, 34, 61, 88, 112, 113]"
1190,13798141,332.8731434598326,37.257537499393976,4,"[15, 55, 82, 121]"
1191,13811036,300.8005358814053,7.483413148292955,4,"[54, 81, 92, 116]"
1192,13741670,138.84516255715212,-24.280812859019463,7,"[8, 34, 61, 88, 99, 112, 113]"
1193,13741671,138.84487192668055,-24.279720250455824,7,"[8, 34, 61, 88, 99, 112, 113]"
1194,13799337,333.4238333247922,38.20057144907982,4,"[15, 55, 82, 121]"
1195,13863424,22.626940043470647,20.523537032977497,3,"[17, 57, 84]"
1196,13863427,22.62775682880527,20.522626176180335,3,"[17, 57, 84]"
1197,33418853,86.6224926426072,-46.381480943573585,8,"[6, 32, 33, 87, 98, 107, 108, 110]"
1198,33425819,342.8390885526011,-2.319499028055234,3,"[42, 70, 92]"
1199,33492996,13.929026188966796,-33.28516712148072,4,"[3, 97, 107, 108]"
1200,53834319,174.42278086416124,-36.91765527200627,9,"[9, 36, 63, 90, 99, 100, 110, 112, 113]"
1201,53832151,27.442714267397253,26.762488880795996,3,"[17, 57, 84]"
1202,72814920,208.2688854859811,-37.04086883461363,7,"[10, 37, 64, 100, 101, 112, 114]"
1203,72855589,217.22899351294396,-13.113234165985002,3,"[11, 37, 64]"
1204,72849025,173.56802767516635,-45.91999075819944,11,"[9, 36, 62, 63, 89, 90, 99, 110, 111, 112, 113]"
1205,72850868,216.64484089632538,-11.985572891229367,4,"[11, 37, 64, 115]"
1206,13961725,22.172755471043924,16.759043565073444,3,"[17, 57, 84]"
1207,13931687,65.982552105789,-59.05254163323687,5,"[31, 32, 98, 107, 108]"
1208,13984854,65.63336625385068,-64.00203633154162,4,"[4, 6, 32, 98]"
1209,13997060,23.71750233593217,19.509856283385822,1,[17]
1210,33494267,12.820099441007022,-35.392587074306874,5,"[3, 30, 97, 104, 107]"
1211,33526703,14.033151612225529,-34.654901603717,4,"[3, 97, 107, 108]"
1212,33589575,169.1528615685271,-51.62220576475087,12,"[9, 35, 36, 62, 63, 89, 90, 99, 110, 111, 112, 113]"
1213,33572291,255.49446006968097,-7.828221849758558,7,"[12, 39, 66, 91, 93, 115, 116]"
1214,33601621,93.5240240852419,-39.197641141400304,6,"[6, 33, 87, 107, 108, 109]"
1215,53986346,109.01379439628887,-48.039024617489446,7,"[6, 7, 33, 87, 109, 110, 111]"
1216,54003409,15.64186688252206,-23.677437382932652,4,"[3, 30, 97, 108]"
1217,54018090,16.81895095163766,-21.645630225626423,3,"[3, 30, 97]"
1218,54071627,15.128287938572722,-25.499822336156512,4,"[3, 30, 97, 108]"
1219,54113753,178.6600427738231,-40.10851821433463,10,"[9, 36, 63, 90, 99, 100, 110, 111, 112, 113]"
1220,72941890,70.63708037171392,33.54899818553142,3,"[19, 59, 86]"
1221,72980496,123.44529429128065,-24.889184709948697,5,"[7, 34, 61, 88, 112]"
1222,92591774,308.26343457781735,-15.283846784761625,4,"[1, 28, 68, 95]"
1223,14088139,67.79553723057826,-63.662722806648766,3,"[5, 32, 98]"
1224,14156987,61.75437910330892,2.005630594237828,4,"[42, 43, 44, 71]"
